species,reference,new design
Pomacea canaliculata,,
Gambusia affinis,1,
Rana catesbeiana,1,
Trachemys scriptaelegans,1,
Procambarus clarkii,,1
Oreochromis niloticus,1,
Atractosteus spatula,1,
Macroclemys temminckii,,
Polyodon spathula,,1
Lepisosteus oculatus,,2
Anguilla anguilla,2,
Anguilla rostrata,1,
Oncorhynchus kisutch,2,
Oncorhynchus mykiss,,
Micropterus salmoides,2,
Oreochromis mossambicus,,
Chelydra serpentina,,
Limnoperna fortunei,1,
Lepomis macrochirus,1,2
Mytilus galloprovincialis,1,1
Clarias batrachus,,2
Pterygoplichthys pardalis,,1
Coptodon zillii,,2
Notopterus notopterus,,2
Cirrhinus mrigala,,2
Ictiobus cyprinellus,,2
Prochilodus lineatus,,2
Ictalurus punctatus,,2
Lepomis auratus,,2
Lates calcarifer,,1
Oreochromis aureus,,2
Parachromis managuensis,,2
Sarotherodon galilaeus,,2
Morone saxatilis,,2
Perca fluviatilis,,1
Amphibalanus Amphitrite,,1
Crassostrea gigas,,2
Clarias gariepinus,,2
Sciaenops ocellatus,,2
Pseudorasbora parva,,2
Eleotris fusea,,2
Pterygoplichthys disjunctivus,,2
Labeo rohita,,2
Tinca tinca,,2
Channa striata,,2
Pygocentrus nattereri,,2
